"","01/04/2026","2","2","1","R$ 2.000,00","R$ 30.000,00","R$ 649,46","R$ 324,73","R$ 324,73","R$ 649,46","49,3x","","","","","","","","","","","","","",""
"","08/04/2026","","","","","","R$ 415,86","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
"","15/04/2026","2","2","","R$ 1.000,00","","R$ 480,72","R$ 240,36","R$ 240,36","R$ 0,00","2,1x","","","","","","","","","","","","","",""
"","22/04/2026","3","3","","R$ 1.000,00","","R$ 736,11","R$ 245,37","R$ 245,37","R$ 0,00","1,4x","","","","","","","","","","","","","",""
"","29/04/2026","","","","","","R$ 269,32","R$ 0,00","R$ 0,00","R$ 0,00","0,0x","","","","","","","","","","","","","",""
"","","7","7","1","R$ 4.000,00","R$ 30.000,00","R$ 2.551,47","R$ 364,50","R$ 364,50","R$ 2.551,47","13,3x","","","","","","","","","","","","","",""
