"","","","","","","","","","","","","","","","GOOGLE — Landing Page","","","","","","","","","","",""
"","","Obs.","","","","","","","","","","","","","Invest.
(R$)","","","","","","","","","","",""
"","01/05/2026","","R$ 126,68","9","R$ 14,08","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 30,42","11","R$ 2,77","","","R$ 0,00","R$ 126,68","9","R$ 14,08","","","","","",""
"","02/05/2026","","R$ 105,50","6","R$ 17,58","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 24,25","21","R$ 1,15","","","R$ 0,00","R$ 105,50","6","R$ 17,58","","","","","",""
"","03/05/2026","","R$ 119,60","18","R$ 6,64","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 36,40","29","R$ 1,26","","","R$ 0,00","R$ 119,60","18","R$ 6,64","","","","","",""
"","04/05/2026","","R$ 152,39","15","R$ 10,16","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 37,58","17","R$ 2,21","","","R$ 0,00","R$ 152,39","15","R$ 10,16","","","","","",""
"","05/05/2026","","R$ 160,89","13","R$ 12,38","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 34,84","18","R$ 1,94","","","R$ 0,00","R$ 160,89","13","R$ 12,38","","","","","",""
"","06/05/2026","","R$ 132,69","17","R$ 7,81","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 31,76","9","R$ 3,53","","","R$ 0,00","R$ 132,69","17","R$ 7,81","","","","","",""
"","07/05/2026","","R$ 127,45","19","R$ 6,71","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 22,85","7","R$ 3,26","","","R$ 0,00","R$ 127,45","19","R$ 6,71","","","","","",""
"","08/05/2026","","R$ 125,16","14","R$ 8,94","R$ 0,00","0","R$ 0,00","R$ 0,00","0","R$ 0,00","R$ 15,15","11","R$ 1,38","","","R$ 0,00","R$ 125,16","14","R$ 8,94","","","","","",""
