"","","","","","","","","","META — Landing Page","","","","","","GOOGLE — Landing Page","","","","","","","","","","",""
"","","Obs.","","","","","","","Invest.
(R$)","","","","","","Invest.
(R$)","","","","","","","","","","",""
"","01/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","02/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","03/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","04/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","05/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","06/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","07/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","08/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","09/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","10/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","11/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","12/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","13/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","14/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","15/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","16/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","17/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","18/03/2026","","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","","","R$ 0,00","R$ 0,00","0","R$ 0,00","","","","","",""
"","19/03/2026","","R$ 15,93","1","R$ 15,93","R$ 14,70","1","R$ 14,70","","","R$ 0,00","R$ 20,26","1","R$ 20,26","","","R$ 0,00","R$ 30,63","2","R$ 15,32","","","","","",""
"","20/03/2026","","R$ 42,28","2","R$ 21,14","R$ 39,92","4","R$ 9,98","","","R$ 0,00","R$ 20,79","8","R$ 2,60","","","R$ 0,00","R$ 82,20","6","R$ 13,70","","","","","",""
"","21/03/2026","","R$ 30,53","0","R$ 0,00","R$ 34,48","2","R$ 17,24","","","R$ 0,00","R$ 14,26","9","R$ 1,58","","","R$ 0,00","R$ 65,01","2","R$ 32,51","","","","","",""
"","22/03/2026","","R$ 34,33","4","R$ 8,58","R$ 40,96","3","R$ 13,65","","","R$ 0,00","R$ 17,35","5","R$ 3,47","","","R$ 0,00","R$ 75,29","7","R$ 10,76","","","","","",""
"","23/03/2026","","R$ 58,47","2","R$ 29,24","R$ 41,44","6","R$ 6,91","","","R$ 0,00","R$ 22,95","10","R$ 2,30","","","R$ 0,00","R$ 99,91","8","R$ 12,49","","","","","",""
"","24/03/2026","","R$ 71,84","5","R$ 14,37","R$ 39,05","3","R$ 13,02","","","R$ 0,00","R$ 28,26","6","R$ 4,71","","","R$ 0,00","R$ 110,89","8","R$ 13,86","","","","","",""
"","25/03/2026","","R$ 45,30","5","R$ 9,06","R$ 43,86","9","R$ 4,87","","","R$ 0,00","R$ 18,71","8","R$ 2,34","","","R$ 0,00","R$ 89,16","14","R$ 6,37","","","","","",""
"","26/03/2026","","R$ 37,31","2","R$ 18,66","R$ 56,59","8","R$ 7,07","","","R$ 0,00","R$ 17,42","8","R$ 2,18","","","R$ 0,00","R$ 93,90","10","R$ 9,39","","","","","",""
"","27/03/2026","","R$ 24,62","2","R$ 12,31","R$ 50,27","5","R$ 10,05","","","R$ 0,00","R$ 16,70","2","R$ 8,35","","","R$ 0,00","R$ 74,89","7","R$ 10,70","","","","","",""
"","28/03/2026","","R$ 25,60","0","R$ 0,00","R$ 55,24","6","R$ 9,21","","","R$ 0,00","R$ 18,34","4","R$ 4,59","","","R$ 0,00","R$ 80,84","6","R$ 13,47","","","","","",""
"","29/03/2026","","R$ 30,64","2","R$ 15,32","R$ 69,75","8","R$ 8,72","","","R$ 0,00","R$ 22,35","4","R$ 5,59","","","R$ 0,00","R$ 100,39","10","R$ 10,04","","","","","",""
"","30/03/2026","","R$ 8,49","0","R$ 0,00","R$ 57,95","2","R$ 28,98","","","R$ 0,00","R$ 21,71","7","R$ 3,10","","","R$ 0,00","R$ 66,44","2","R$ 33,22","","","","","",""
"","31/03/2026","","R$ 34,21","2","R$ 17,11","R$ 52,47","5","R$ 10,49","","","R$ 0,00","R$ 16,81","6","R$ 2,80","","","R$ 0,00","R$ 86,68","7","R$ 12,38","","","","","",""
"","","","R$ 459,55","27","R$ 17,02","R$ 596,68","62","R$ 9,62","R$ 0,00","0","R$ 0,00","R$ 255,91","78","R$ 3,28","R$ 0,00","0","R$ 0,00","R$ 1.056,23","89","R$ 11,87","","","","","",""
