"","Campaign Name","Ad Set Name","Ad Name","","","","",""
"2026-07-02","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","520","19","17,28","511","33,23"
"2026-07-02","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","764","27","17,42","689","22,8"
"2026-07-02","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","12","","0,25","12","20,83"
"2026-07-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","455","20","16","408","35,16"
"2026-07-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","443","24","16,45","443","37,13"
"2026-07-03","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","632","22","15,07","596","23,84"
"2026-07-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","523","27","14,26","509","27,27"
"2026-07-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","545","28","15,37","533","28,2"
"2026-07-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","458","24","12,52","446","27,34"
"2026-07-04","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","8","1","0,11","7","13,75"
"2026-07-05","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","665","35","20,93","638","31,47"
"2026-07-05","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","744","40","21,14","717","28,41"
"2026-07-05","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","943","24","20,16","843","21,38"
"2026-07-05","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","21","1","0,63","20","30"
"2026-07-06","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","521","30","20,05","498","38,48"
"2026-07-06","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","591","25","17,92","560","30,32"
"2026-07-06","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","878","41","19,72","814","22,46"
"2026-07-06","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","13","1","0,4","13","30,77"
"2026-07-07","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","376","17","14,3","362","38,03"
"2026-07-07","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","416","18","14,47","413","34,78"
"2026-07-07","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","494","22","13,27","485","26,86"
"2026-07-07","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","39","5","1,27","38","32,56"
"2026-07-08","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","34","1","0,43","34","12,65"
"2026-07-08","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","26","1","0,35","26","13,46"
"2026-07-08","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","10","1","0,15","10","15"
"2026-07-10","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","714","36","25","704","35,01"
"2026-07-10","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","788","19","25,7","762","32,61"
"2026-07-10","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","734","28","21,95","700","29,9"
"2026-07-10","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","92","2","3,45","90","37,5"
"2026-07-11","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","825","53","31,08","789","37,67"
"2026-07-11","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","1007","58","31","987","30,78"
"2026-07-11","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","959","44","26,76","858","27,9"
"2026-07-11","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","131","5","3,72","128","28,4"
"2026-07-12","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","569","25","21,47","535","37,73"
"2026-07-12","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","721","47","21,45","699","29,75"
"2026-07-12","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","442","25","13,33","408","30,16"
"2026-07-12","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","259","19","9,75","243","37,64"
"2026-07-13","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","636","30","18,11","599","28,47"
"2026-07-13","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","639","34","18,09","639","28,31"
"2026-07-13","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","678","43","19,14","619","28,23"
"2026-07-13","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","39","2","1,03","37","26,41"
"2026-07-14","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","679","40","18,03","671","26,55"
"2026-07-14","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","583","31","17,43","560","29,9"
"2026-07-14","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","652","24","16,02","597","24,57"
"2026-07-14","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","26","1","1,29","25","49,62"
"2026-07-15","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","547","30","17,26","531","31,55"
"2026-07-15","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","498","26","17,45","490","35,04"
"2026-07-15","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","406","19","15,2","383","37,44"
"2026-07-15","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","6","","0,23","6","38,33"
"2026-07-16","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","437","29","18,71","414","42,81"
"2026-07-16","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","418","35","18","396","43,06"
"2026-07-16","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","477","15","17,96","443","37,65"
"2026-07-16","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","13","1","0,77","13","59,23"
"2026-07-17","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","452","34","18,83","445","41,66"
"2026-07-17","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","376","26","18,43","373","49,02"
"2026-07-17","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","427","26","16,05","400","37,59"
"2026-07-17","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","9","2","0,88","9","97,78"
"2026-07-18","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","429","31","13,5","426","31,47"
"2026-07-18","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","473","20","14,99","469","31,69"
"2026-07-18","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","487","36","14,04","456","28,83"
"2026-07-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","615","49","22,33","589","36,31"
"2026-07-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","539","38","20,81","533","38,61"
"2026-07-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","849","37","23,2","791","27,33"
"2026-07-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","1","","0,01","1","10"
"2026-07-20","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","119","8","5,62","119","47,23"
"2026-07-20","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","146","9","6,32","145","43,29"
"2026-07-20","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","259","9","7,77","250","30"
"2026-08-07","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Nem toda mulher","8","2","0,19","7","23,75"
"2026-08-07","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - tipo de solidão","197","14","4,3","183","21,83"
"2026-08-07","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Voce pode ter acumulado","628","16","6,42","627","10,22"
"2026-08-08","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Nem toda mulher","11","","0,26","10","23,64"
"2026-08-08","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - tipo de solidão","400","28","8,57","363","21,43"
"2026-08-08","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Voce pode ter acumulado","204","9","3,54","196","17,35"
"2026-08-09","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Nem toda mulher","3","","0,07","3","23,33"
"2026-08-09","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - tipo de solidão","796","41","15,48","686","19,45"
"2026-08-10","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","252","29","8,99","243","35,67"
"2026-08-10","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Voce pode ter acumulado","36","3","1,67","35","46,39"
"2026-08-10","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Nem toda mulher","2","","0,04","2","20"
"2026-08-10","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - tipo de solidão","619","38","11","557","17,77"
"2026-08-10","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Vc não precis ser guerreira.","6","","0,13","6","21,67"
"2026-08-10","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Voce pode ter acumulado","1","","0","1","0"
"2026-08-10","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Chamam de sorte","2","","0,08","2","40"
"2026-08-11","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","567","37","14,23","497","25,1"
"2026-08-11","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Voce pode ter acumulado","13","1","0,69","11","53,08"
"2026-08-11","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Nem toda mulher","4","","0,16","4","40"
"2026-08-11","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - tipo de solidão","93","6","2,34","91","25,16"
"2026-08-11","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Vc não precis ser guerreira.","450","38","11,73","398","26,07"
"2026-08-11","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Chamam de sorte","9","1","0,78","8","86,67"
"2026-08-12","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","552","47","16,52","522","29,93"
"2026-08-12","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Nem toda mulher","7","","0,06","7","8,57"
"2026-08-12","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Vc não precis ser guerreira.","758","36","17,01","660","22,44"
"2026-08-12","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Chamam de sorte","2","","0,03","2","15"
"2026-08-13","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","385","19","11,9","368","30,91"
"2026-08-13","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Vc não precis ser guerreira.","471","33","11,03","424","23,42"
"2026-08-13","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","01 - IG | M | 35+ | Sudeste | Publico High Ticket | Frio de Interesses","Reels - Voce pode ter acumulado","10","","0,22","10","22"
"2026-08-13","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Enquanto todos aplaudem","13","2","1,27","13","97,69"
"2026-08-13","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Ser independente é uma conquista","88","9","5,52","84","62,73"
"2026-08-13","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Nunca é tarde","30","1","1,77","29","59"
"2026-08-14","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","363","24","13,03","348","35,9"
"2026-08-14","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Enquanto todos aplaudem","19","1","0,38","18","20"
"2026-08-14","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Ser independente é uma conquista","211","19","12,92","187","61,23"
"2026-08-14","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Nunca é tarde","36","1","1,29","30","35,83"
"2026-08-15","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","411","32","11,05","391","26,89"
"2026-08-15","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Enquanto todos aplaudem","28","2","0,8","27","28,57"
"2026-08-15","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Ser independente é uma conquista","186","14","8,49","177","45,65"
"2026-08-15","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Nunca é tarde","22","","0,42","21","19,09"
"2026-08-16","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","544","36","15,66","515","28,79"
"2026-08-16","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Ser independente é uma conquista","384","34","17,85","323","46,48"
"2026-08-16","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Nunca é tarde","10","1","0,27","10","27"
"2026-08-17","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","716","47","15,54","704","21,7"
"2026-08-17","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Enquanto todos aplaudem","8","","0,14","8","17,5"
"2026-08-17","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Ser independente é uma conquista","65","3","3,15","61","48,46"
"2026-08-17","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Nunca é tarde","336","22","14,1","295","41,96"
"2026-08-18","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","948","87","17,52","929","18,48"
"2026-08-18","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Nunca é tarde","406","26","14,19","363","34,95"
"2026-08-19","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","00 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","Reels - Se voce se reconhece","1011","86","16,26","975","16,08"
"2026-08-19","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Nunca é tarde","139","9","6,45","134","46,4"
"2026-08-19","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Na sua vida hoje","106","4","4,23","100","39,91"
"2026-08-19","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Passamos anos","40","1","1,31","34","32,75"
"2026-08-19","LM | E1-DIST |  | ENGJ | ABO | 2026-08-07 | Visitas no Perfil","02 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK — Cópia","Reels - Ser Guerreira","56","4","2,37","50","42,32"
