"","Campaign Name","Ad Set Name","Ad Name","","","","",""
"2026-06-09","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","430","25","14,21","418","33,05"
"2026-06-09","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","575","32","18,13","573","31,53"
"2026-06-09","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","3","","0,12","3","40"
"2026-06-10","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","567","35","17,55","550","30,95"
"2026-06-10","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","2 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","193","15","7,45","185","38,6"
"2026-06-10","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","546","30","18,3","537","33,52"
"2026-06-11","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","355","33","21,3","346","60"
"2026-06-11","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","453","18","15,88","441","35,06"
"2026-06-11","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","4","","0,12","4","30"
"2026-06-12","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","537","31","20,51","537","38,19"
"2026-06-12","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","516","32","19,27","497","37,34"
"2026-06-12","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","5","","0,21","5","42"
"2026-06-13","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","229","12","8,23","225","35,94"
"2026-06-13","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","383","36","14,03","367","36,63"
"2026-06-13","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","3","","0,07","3","23,33"
"2026-06-14","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","649","43","24,19","634","37,27"
"2026-06-14","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","699","46","22,77","699","32,58"
"2026-06-15","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","444","29","17,77","426","40,02"
"2026-06-15","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","518","35","17,99","498","34,73"
