"NOMENCLATURA CAMPANHAS - META ADS","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIGLA","ETAPA","PÚBLICO","OBJETIVO","BUDGET","DATA DE UPLOAD","DESCRIÇÃO DA CAMPANHA","NOME DA CAMPANHA NO GERENCIADOR DE ANÚNCIOS ","","","","","","","","","","","","","","","","","",""
"LM","E1-DIST","P2-FRIO","ENGJ","ABO","2026-06-02","Visitas no Perfil","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  |  |  | ","","","","","","","","","","","","","","","","","",""
"NOMENCLATURA CONJUNTOS DE ANÚNCIOS - META ADS","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSICIONAMENTO","GÊNERO","IDADE","LOCALIZAÇÃO","DESCRIÇÃO DO PÚBLICO","","DESCRIÇÃO DA CAMPANHA","","","","","","","","","","","","","","","","","","",""
"IG","M","35+","Sul e Suldeste","Publico High Ticket","","Visitas no Perfil","IG | M | 35+ | Sul e Suldeste | Publico High Ticket","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  | ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  |  |  | ","","","","","","","","","","","","","","","","","",""
"NOMENCLATURA DE ANÚNCIOS - META ADS","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIGLA","NOME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  ","","","","","","","","","","","","","","","","","",""
"","","","","","",""," |  ","","","","","","","","","","","","","","","","","",""
"NOMENCLATURA CAMPANHAS - GOOGLE ADS","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIGLA","ETAPA","PÚBLICO","OBJETIVO","BUDGET","DATA DE UPLOAD","DESCRIÇÃO DA CAMPANHA","NOME DA CAMPANHA NO GERENCIADOR DE ANÚNCIOS ","","","","","","","","","","","","","","","","","",""
"DR. VINICIUS","E2-CAP","P2-FRIO","INSCRITOS","CBO","2026-03-19","Teste","DR. VINICIUS_E2-CAP_P2-FRIO_INSCRITOS_CBO_2026-03-19_Teste","","","","","","","","","","","","","","","","","",""
"","","","","","","","______","","","","","","","","","","","","","","","","","",""
"","","","","","","","______","","","","","","","","","","","","","","","","","",""
"","","","","","","","______","","","","","","","","","","","","","","","","","",""
"","","","","","","","______","","","","","","","","","","","","","","","","","",""
"","","","","","","","______","","","","","","","","","","","","","","","","","",""
